anex_xml_id,catalog_hotel_id
487,386
488,395
499,238
505,166
517,398
521,286
525,341
526,397
527,419
529,426
532,459
548,511
553,144294
556,428
559,389
562,181
564,291
566,151
582,118
758,342
769,379
771,467
774,257
775,363
776,470
778,126
779,328
787,435
793,416
796,443
801,340
821,113
822,101
829,178
834,414
902,475
927,148
975,421
976,348
978,277
980,377
981,4188
1048,234
1160,20323
1191,1894
1224,1884
1232,1872
1247,16071
1254,1896
1341,140
1344,504
1366,176
1432,287
1451,381
1565,380
1609,281
1610,282
1613,452
1635,462
1636,329
1757,259
1761,62504
1762,9003
3187,74227
3189,38301
3191,2959
3192,587
3193,593
3194,594
3198,642
3199,645
3201,667
3204,78047
3205,717
3206,742
3207,744
3208,754
3211,763
3212,765
3213,770
3214,781
3215,785
3216,793
3217,805
3220,537
3223,574
3225,629
3226,4270
3227,669
3229,689
3230,730
3231,2047
3234,791
3235,817
3236,818
3239,2956
3240,4235
3241,4272
3246,559
3250,671
3252,519
3257,551
3260,4197
3262,555
3264,620
3265,741
3266,627
3267,628
3268,632
3269,2018
3270,2019
3271,2020
3272,2023
3274,641
3275,644
3277,2026
3278,651
3282,666
3283,668
3285,4336
3287,721
3288,3005
3289,731
3290,743
3291,3010
3292,2898
3294,4385
3295,784
3296,2054
3297,2055
3299,2057
3300,2058
3301,786
3302,4402
3307,809
3308,813
3309,8097
3313,2079
3314,846
3317,849
3318,850
3320,4195
3321,2945
3323,4201
3326,4223
3327,22726
3328,2954
3330,23253
3336,2981
3341,4304
3342,23264
3343,8010
3348,8122
3351,45447
3352,45445
3353,45446
3357,49238
3360,45437
3361,8216
3363,274
3371,807
3376,33420
3379,562
3382,571
3383,4446
3385,586
3388,605
3391,2009
3393,609
3394,115791
3395,671
3397,2013
3399,823
3400,636
3402,638
3403,722
3404,773
3405,776
3406,8141
3407,814
3408,3028
3409,2081
3411,603
3418,545
3422,4255
3423,7922
3425,2990
3426,2991
3427,2993
3434,3027
3435,15695
3436,4438
3437,4239
3438,2001
3439,576
3440,577
3444,2963
3454,275
3455,600
3467,2964
3469,2992
3470,7998
3471,45581
3472,2995
3476,608
3482,4358
3483,44537
3490,7999
3492,708
3765,2977
3773,604
3774,12171
3775,726
3782,2011
3783,673
3784,3029
3785,51908
3821,4232
3834,4384
3835,4380
3837,4331
3850,4183
3860,512
3887,4376
3890,4264
3897,4378
3898,4278
3904,100845
3913,8046
3948,4281
3949,4282
3951,4206
3990,768
3991,766
4030,4196
4031,529
4032,12184
4104,8575
4110,3153
4114,3160
4116,3403
4117,8012
4120,22774
4137,4222
4142,7936
4143,643
4149,2006
4150,601
4234,2903
4255,196
4264,9378
4272,13876
4273,405
4276,4191
4278,547
4279,2003
4280,595
4283,2033
4284,682
4286,811
4289,111
4317,536
4318,2949
4319,2957
4324,4294
4325,661
4327,2034
4329,3030
4330,4429
4332,815
4337,2077
4366,424
4367,1959
4369,4413
4371,4199
4374,4234
4375,4246
4376,4269
4378,4339
4384,4381
4385,4382
4386,4403
4389,4427
4390,4442
4392,711
4394,4367
4395,4228
4398,1993
4399,558
4400,2958
4401,575
4402,581
4405,657
4407,674
4408,678
4409,4316
4412,713
4415,734
4418,810
4421,659
4426,8136
4429,2061
4434,544
4437,4256
4442,771
4443,4328
4444,4327
4446,8026
4448,4333
4451,715
4454,28550
4461,4407
4462,22847
4463,4440
4466,665
4471,4244
4474,4396
4476,737
4479,748
4480,751
4481,4363
4482,800
4484,803
4485,4416
4487,4245
4489,2051
4491,753
4492,735
4498,4313
4501,4297
4502,4347
4507,4354
4511,4434
4517,4253
4518,225
4521,302
4522,746
4523,549
4529,831
4531,4285
4535,77358
4536,9401
4537,8114
4545,8088
4551,12692
4552,12266
4553,12532
4564,12285
4567,12823
4572,12233
4574,12534
4575,22809
4581,4290
4585,4212
4586,935
4587,9368
4588,330
4625,4180
4627,4276
4631,681
4632,4371
4637,3033
4640,4202
4641,12159
4642,7935
4647,851
4656,1998
4662,829
4666,6317
4667,7928
4669,2972
4670,2980
4672,8093
4673,4314
4679,4326
4701,2947
4703,8197
4704,1967
4705,2044
4709,723
4714,9403
4718,7911
4719,7827
4721,719
4731,635
4732,7917
4733,4395
4734,838
4737,4309
4750,680
4752,4430
4754,8229
4757,35033
4759,8121
4763,8020
4765,8062
4768,8151
4769,8193
4772,8122
4774,8190
4778,550
4779,4254
4780,2999
4781,8023
4783,8176
4785,637
4787,853
4788,8086
4790,772
4791,8015
4800,747
4802,938
4809,12195
4811,9385
4814,4193
4816,8428
4817,8427
4837,3157
4838,3158
4943,8165
4944,2961
4946,8171
4949,400
4957,518
4962,50956
4965,752
4970,12177
4971,7889
4973,4417
4977,12209
4978,13127
5010,3018
5011,4250
5016,8186
5017,12180
5019,12162
5021,13128
5022,590
5026,12208
5029,2997
5052,7965
5054,7844
5055,12168
5056,13121
5059,2012
5064,4398
5065,8081
5066,8083
5068,623
5070,8006
5071,8173
5072,8175
5074,13122
5078,13124
5088,12190
5094,2000
5095,13108
5113,8089
5115,280
5125,268
5126,267
5128,450
5137,14048
5140,14047
5142,3009
5145,12207
5151,103125
5153,14141
5155,15698
5157,7985
5164,15704
5166,736
5167,125
5170,22777
5175,20971
5176,15709
5178,22667
5180,22844
5184,22639
5186,103730
5187,777
5188,22706
5193,8178
5196,9365
5199,15729
5200,21477
5205,15711
5211,485
5212,8154
5213,561
5220,21475
5221,22717
5222,22720
5224,22721
5226,572
5228,26077
5229,580
5231,7954
5232,7976
5235,3000
5236,694
5240,22766
5242,2045
5252,2075
5257,22748
5419,22754
5421,3002
5424,3015
5429,925
5436,883
5450,15842
5453,911
5456,296
5460,4151
5468,863
5469,864
5474,895
5477,2087
5485,335
5493,4139
5500,12152
5502,22586
5503,15811
5506,4123
5514,4131
5522,4033
5524,4035
5529,23679
5531,4043
5532,13922
5534,22622
5536,22623
5538,22624
5540,7453
5541,15861
5543,14132
5545,4056
5548,22627
5549,4076
5550,14134
5551,4081
5553,15863
5554,4958
5555,4091
5556,4090
5557,14138
5558,4092
5559,4094
5560,4095
5629,4053
5630,22625
5636,22751
5672,857
5674,4117
5685,2905
5688,871
5690,872
5701,588
5705,22840
5713,4121
5716,22908
5718,780
5729,14139
5732,7830
5733,7839
5736,13947
5740,916
5747,23766
5753,33518
5758,23661
5760,123273
5769,887
5771,22770
5774,24910
5775,698
5777,26765
5778,26664
5779,21747
5780,898
5782,1994
5787,23732
5790,24884
5798,12104
5800,23739
5815,8717
5818,2979
5842,4664
5844,453
5845,24847
5847,7899
5849,7992
5852,22664
5854,2017
5856,4273
5858,15813
5859,23339
5862,58059
5887,4140
5890,26680
5892,32375
5895,32417
5896,32367
5898,57890
5907,28509
5913,6797
5914,13930
5919,110759
5922,32357
5933,4810
5937,4812
5945,4823
5946,4825
5964,16727
5975,16740
5982,27224
6000,8596
6001,3121
6006,3199
6007,3202
6009,3211
6012,18495
6014,18570
6015,18584
6017,22398
6018,3270
6019,8576
6020,8577
6021,3271
6022,8578
6028,3283
6030,3287
6033,8560
6036,3307
6041,3393
6046,4696
6048,4665
6051,4667
6095,4728
6107,4741
6115,4754
6116,4675
6153,16710
6171,3291
6172,3316
6173,3374
6219,16663
6221,18436
6224,16698
6225,18838
6226,18871
6227,18938
6228,16732
6235,104084
6243,18745
6246,18767
6255,3125
6258,3132
6272,8536
6297,8707
6301,8757
6304,8763
6305,8767
6330,16719
6354,3293
6365,3354
6402,20288
6408,8744
6444,8712
6529,32381
6535,33446
6538,21744
6542,28553
6555,2044
6557,24917
6563,26044
6564,33334
6570,32374
6571,33338
6581,18278
6586,27221
6624,13941
6655,1969
6656,23742
6666,32396
6690,33310
6693,32380
6702,23684
6705,14128
6708,33371
6711,23771
6712,13924
6714,32410
6715,32339
6716,13872
6726,29632
6727,4181
6739,8554
6743,33313
6753,32383
6767,32725
6784,33306
6785,4230
6787,32390
6789,2032
6791,28561
6792,33301
6793,33298
6795,738
6796,13110
6797,33337
6799,24870
6802,2067
6803,24921
6805,647
6806,32385
6807,32388
6809,32424
6811,22673
6812,859
6818,23330
6821,899
6830,23655
6834,32440
6835,12156
6840,32392
6859,4103
7270,23835
7271,7091
7272,7126
7281,6973
7284,7025
7285,7024
7286,7029
7287,7057
7288,7118
7289,7178
7295,7244
7297,7278
7314,6860
7320,34685
7321,6802
7323,7085
7324,7098
7329,7180
7330,7182
7332,7184
7335,7253
7336,7306
7339,7389
7345,6991
7346,7054
7348,7119
7352,34691
7354,6883
7357,7185
7361,7210
7362,6985
7363,6927
7378,5004
7381,23728
7389,5006
7391,5027
7397,7221
7400,15819
7404,7023
7421,6983
7422,6978
7429,5102
7433,33307
7434,22634
7445,5124
7448,4989
7450,33354
7452,32399
7457,5010
7461,32397
7462,23759
7466,28265
7468,33396
7469,33507
7470,33394
7474,33299
7477,33311
7478,2029
7479,787
7480,4300
7481,658
7483,51961
7498,23741
7501,23736
7505,2496
7506,2511
7510,2926
7511,8868
7512,2533
7515,4484
7516,2663
7517,2577
7518,2588
7519,2934
7520,2935
7521,4502
7535,32361
7537,43039
7538,5134
7541,2515
7557,5149
7561,5067
7574,4459
7590,5150
7591,5152
7594,20931
7599,5157
7604,32404
7626,2609
7628,2689
7633,2600
7642,33155
7645,37911
7658,2530
7659,22943
7662,4540
7664,33740
7668,8831
7670,2593
7671,2651
7673,2688
7680,16880
7681,45200
7685,43249
7688,6862
7692,4466
7695,24940
7696,2583
7697,8935
7698,2643
7703,39360
7705,16919
7706,58983
7714,2521
7715,2541
7719,7252
7720,7258
7724,7424
7727,33071
7729,819
7730,2048
7738,2641
7739,2661
7747,7269
7748,33357
7755,2584
7760,95159
7764,2655
7769,8098
7770,4204
7776,34659
7777,38382
7784,35016
7786,27478
7794,5063
7795,36303
7806,2646
7808,8921
7811,8948
7815,2638
7816,1992
7818,35018
7830,22939
7841,33739
7843,4523
7844,29587
7845,2602
7849,34431
7858,2573
7862,2603
7868,32368
7871,4499
7872,2664
7874,2686
7875,13828
7876,37913
7880,4460
7884,34430
7897,2561
7905,34558
7908,69110
7910,8947
7911,2645
7918,8860
7923,8889
7924,8890
7925,8907
7928,2015
7929,24879
7930,33324
7931,4401
7936,2526
7937,8908
7939,4503
7953,6861
7955,35317
7961,35136
7964,12164
7965,35017
7967,613
7981,35318
7984,13925
7987,35013
7988,22600
7990,22612
8017,891
8027,16673
8029,38298
8047,37910
8050,8117
8054,37914
8057,33380
8061,24880
8062,28253
8063,38756
8064,38759
8069,37937
8070,29596
8072,4464
8073,20962
8074,33349
8076,5013
8077,4393
8079,22663
8080,38295
8082,7840
8084,37915
8094,129378
8095,28571
8097,37225
8098,37918
8111,22651
8113,40860
8123,40859
8124,38319
8126,38291
8127,4299
8128,26072
8130,41291
8140,725
8145,3136
8150,3140
8151,3267
8154,9412
8158,38337
8159,9413
8166,37247
8171,3368
8172,3355
8176,3349
8177,16621
8181,19140
8188,954
8193,8636
8196,18396
8200,947
8209,956
8210,28441
8219,978
8225,990
8229,993
8232,1002
8233,27642
8235,1016
8244,35302
8248,991
8258,1351
8264,1051
8266,1055
8267,1060
8269,1355
8277,27349
8281,9255
8290,1128
8297,17534
8310,1096
8313,1100
8314,16781
8315,1382
8316,1383
8321,1391
8327,1106
8328,1396
8335,27652
8339,1402
8340,1121
8342,1122
8343,3310
8347,1407
8348,1410
8350,1415
8351,27653
8360,1436
8363,3414
8372,5530
8374,1494
8375,1134
8379,1138
8382,1453
8387,5545
8390,160587
8396,3435
8398,21697
8399,3437
8401,27426
8403,1467
8405,3339
8407,1468
8408,1254
8416,21820
8423,3417
8431,8685
8432,3231
8441,1149
8443,3228
8459,1247
8461,3342
8464,1499
8466,22712
8470,3172
8471,3171
8478,1153
8479,37454
8480,21703
8482,1553
8483,9337
8498,1520
8499,17642
8502,1525
8508,1536
8509,1539
8512,1542
8519,1559
8533,1577
8534,1578
8535,9354
8540,1583
8541,1585
8549,1213
8551,1472
8558,28338
8574,1192
8577,1339
8580,38132
8583,114146
8591,1313
8596,3410
8597,15889
8601,1321
8602,1469
8621,1324
8623,1323
8629,1305
8631,1304
8632,1301
8635,3169
8637,1226
8638,1229
8639,3303
8640,1300
8642,969
8646,1306
8648,1299
8649,9359
8650,37372
8655,1242
8656,1297
8658,1245
8660,1246
8662,1101
8663,16774
8670,1000
8674,1258
8676,1259
8677,3175
8679,2183
8683,3441
8685,1287
8686,21762
8691,3176
8698,3174
8714,3237
8715,40941
8724,8074
8729,3269
8730,3359
8735,8450
8746,3404
8749,7958
8750,24722
8751,33344
8752,7846
8755,3245
8763,3256
8779,22318
8784,3335
8786,3337
8788,17655
8790,17507
8794,31843
8799,28610
8807,17674
8810,17682
8813,28783
8815,3320
8816,3241
8817,3143
8824,28781
8832,3219
8833,37916
8847,3189
8853,18288
8866,4845
8870,965
8871,966
8873,4262
8876,4817
8880,1026
8882,1033
8900,34428
8901,37931
8916,3227
8923,45024
8925,38327
8930,28471
8933,5604
8939,9170
8947,1877
8949,3691
8955,16737
8957,33182
8965,27765
8971,3890
8978,1840
8981,1895
8982,37318
8984,4020
9002,1843
9012,3302
9021,4786
9029,9211
9030,6559
9032,9195
9036,3235
9039,6701
9048,3234
9050,3385
9051,41149
9052,18571
9053,38738
9058,9240
9061,1649
9062,9259
9063,15891
9065,27644
9066,1610
9069,1601
9072,8447
9074,3383
9075,34474
9080,2147
9083,24915
9084,24914
9085,44689
9088,3268
9090,1916
9111,3753
9124,1319
