priority,priority_class,anex_hotel_id,hotel_name,original_class,original_reason,effective_class,effective_reason,effective_source,queue_reason,catalog_candidate_count,geo_candidate_count,candidate_source,candidate_count,candidate_1_catalog_hotel_id,candidate_1_score,candidate_2_catalog_hotel_id,candidate_2_score,candidate_3_catalog_hotel_id,candidate_3_score,evidence_artifact_url
1,source_error,528,Sharm Holiday Resort,review,,review,details_unavailable,geo,details_unavailable,1,0,catalog_fallback,1,425,1.2,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
1,source_error,39553,Double Tree By Hilton Sharks Bay Beach Side,review,,review,details_unavailable,geo,details_unavailable,1,0,catalog_fallback,1,148184,1.2,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
2,review,551,Double Tree By Hilton Sharks Bay Mountain Side,review,,review,competing_candidates,geo,competing_candidates,1,18,geo,18,124758,0.9613,125469,0.9,251,0.8527,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
2,review,1271,Reef Oasis Blue Bay,review,,review,insufficient_independent_evidence,geo,insufficient_independent_evidence,1,28,geo,28,138,0.8875,372,0.75,346,0.5912,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
2,review,4364,Fantazia Resort Marsa Alam,review,,review,competing_candidates,geo,competing_candidates,1,4,geo,4,326,0.7034,151784,0.6828,438,0.45,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
2,review,5058,Wadi Lahmy Azur Resort,review,,review,insufficient_independent_evidence,geo,insufficient_independent_evidence,1,1,geo,1,1985,0.9,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
2,review,18787,Dream Lagoon & Aqua Park Resort,review,,review,insufficient_independent_evidence,geo,insufficient_independent_evidence,1,6,geo,6,65071,0.9,109045,0.667,68418,0.6246,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,465,Dreams Beach Resort & Aqua Park Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,466,Four Seasons Resort Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,468,Retac Qunay Dahab Resort & Spa,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,479,Naama Bay Promenade Beach Resort (Ex. Marriott Beach Front),unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,480,Naama Bay Promenade Mountain View (Ex. Marriott Mountain View),unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,484,V Hotel – Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,486,Reef Oasis Beach Resort Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,492,Movenpick Resort Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,504,Coral Sea Holiday Resort,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,519,Jaz Fanara Resort & Residence (Ex. Iberotel Club Fanara Sharm),unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,547,Charmillion Club Resort,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,655,Verginia Sharm Resort & Aqua Park,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,762,Kingtut Aqua Park Beach Resort Hurghada,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,797,Empire Beach Aqua Park (Ex. Triton Empire Beach Resort Hurghada),unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,798,Empire Hotel Aqua Park (Ex. Triton Empire Hotel Hurghada),unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,815,Roulette 5* Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,817,Roulette 3* Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,818,Grand Rotana Resort & Spa Sharm El Sheikh,unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
3,unmatched,825,Parrotel Aqua Park Resort (Ex. Park Inn By Radisson Sharm),unmatched,,unmatched,,catalog,no_saved_catalog_candidates,0,,catalog,0,,,,,,,https://github.com/pyatkoff/poisk-turov-test/actions/runs/34231947633/artifacts/10058197990
