# MATCH public brand/geo evidence v2
input_run=35243466737 input_result_sha256=b5f57a41e57d2238fa58669897098f5f405049247fb70a93e9d1f02b68b2580d
checked_rows=26 new_public_evidence_rows=26 geo_match=5 geo_conflict=13 geo_insufficient=8 native_id_equivalence=0 mapping_writes=0
namespace	external_id	andromeda_id	source_name	official_name	official_geo	top_local_id	top_local_name	geo_relation	evidence_sha256	official_url
operator_315	31038	156280	Wow Istanbul	WOW İstanbul Hotel	Istanbul / Yesilkoy / Bakirkoy	27603	W ISTANBUL	insufficient	24436446160e7758862f2e8393f09a945ad1b634db77d48669d307a41bb94fd4	https://www.wowistanbulhotel.com/en
operator_315	854061	2000090661	Woxx Hotel	Woxx Hotel	Istanbul / Vezneciler / Fatih	99465	WOX EW HOTEL	conflict	7fb509b83e6238febf1426485185b363fc4f0fe267cfa049ff23a1fc7e1372b3	https://www.woxxhotel.com/
operator_342	43574	2000090661	Woxx Hotel	Woxx Hotel	Istanbul / Vezneciler / Fatih	99465	WOX EW HOTEL	conflict	15e502eb5406ea8ed1b5aef705f0e76ce6b480984af3193f8c7868297feb8ec6	https://www.woxxhotel.com/
operator_315	211585	2000034238	TUI AQI Pegasos World	AQI Pegasos World	Antalya / Side-Manavgat / Titreyengol	16944	AQI PEGASOS WORLD	insufficient	3307fb3027821f37b993392a4c0a88012ddc84d3183522266369906e6f5f06e4	https://pegasosworld.hotelagent.com/en/aboutUs
operator_315	29619	9180	TUI AQI Pegasos Club	AQI Pegasos Club	Antalya / Alanya / Incekum	1275	AQI PEGASOS CLUB	match	37d9dc703dabdc7c6f673a7d82cdcc26756e5235d6fb55a9e215dccddd709f91	https://pegasosclub.hotelagent.com/en/aboutUs
operator_315	29621	372134	TUI AQI Pegasos Resort	AQI Pegasos Resort	Antalya / Alanya / Incekum	1276	AQI PEGASOS RESORT	match	b45c059b339f6bf565e9561a2b0b9010a18191b14f6d29ca3fc6278202159ad7	https://pegasosresort.hotelagent.com/en/aboutUs
operator_315	30878	2000038836	Antik Hotel Istanbul	Antik Hotel Istanbul	Istanbul / Beyazit / Fatih	71549	DANIS HOTEL ISTANBUL	insufficient	9c4c1679f5bb2099ec18bd9b43391c19d19c29ca7bbe3259163fba043c2a35ca	https://www.antikhotel.com/contact
operator_315	30923	218356	Darkhill Hotel	Darkhill Hotel	Istanbul / Beyazit-Laleli / Fatih	102245	KERTHILL HOTEL	insufficient	cb1f8958a6a3977faaf0650baffcc740d8f7d5c856cee6674fd5dc6dc99e9302	https://darkhillhotel.com/
operator_315	751870	475947	Ketenci Hotel	Ketenci Hotel	Marmaris / Mugla	2162	ETENNA HOTEL	conflict	438ba2a1459bf7fac062b77ca06f6f91ea965d0e172356821a348aa67cc935e0	https://ketencihotel.com/contact-us/
operator_315	784075	2000117376	Delta Hotel Istanbul	Delta Hotel Istanbul	Istanbul / Aksaray / Fatih	76112	MELAS HOTEL ISTANBUL	conflict	dfe0cb7683ebeda1c747aeb1df32db586916884a8e96e94017c6538035a15c99	https://www.deltahotelistanbul.com/
